fund_id,trustee_id,trustee_en,trustee_zh,scheme_id,scheme_en,scheme_zh,fund_type_id,fund_type_en,fund_type_zh,fund_name_en,fund_name_zh,class,launch_date
240,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,Fidelity SaveEasy 2035 Fund,富達「儲蓄易」2035基金,,2008-10-27
241,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,Fidelity SaveEasy 2040 Fund,富達「儲蓄易」2040基金,,2008-10-27
242,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,Fidelity SaveEasy 2045 Fund,富達「儲蓄易」2045基金,,2015-11-23
243,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,Fidelity SaveEasy 2050 Fund,富達「儲蓄易」2050基金,,2015-11-23
244,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,EQ_GLOB,Equity Fund - Global Equity Fund,股票基金 - 環球股票基金,Global Equity Fund,環球股票基金,,2003-07-02
245,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_81_100,Mixed Assets Fund - 81% to 100% Equity,混合資產基金 - 81% 至 100% 股票,Growth Fund,增長基金,,2000-12-01
246,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,BOND_HKD,Bond Fund - Hong Kong Dollar Bond Fund,債券基金 - 港元債券基金,Hong Kong Bond Fund,香港債券基金,,2003-07-08
247,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,EQ_HK,Equity Fund - Hong Kong Equity Fund,股票基金 - 香港股票基金,Hong Kong Equity Fund,香港股票基金,,2000-12-01
248,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MM_MPFCON,Money Market Fund - MPF Conservative Fund,貨幣市場基金 - 強積金保守基金,MPF Conservative Fund,強積金保守基金,,2000-12-01
249,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,RetireEasy Fund,退休易基金,,2021-11-01
250,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,BOND_RMB,Bond Fund - RMB Bond Fund,債券基金 - 人民幣債券基金,RMB Bond Fund,人民幣債券基金,,2016-05-16
251,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_41_60,Mixed Assets Fund - 41% to 60% Equity,混合資產基金 - 41% 至 60% 股票,Stable Growth Fund,平穩增長基金,,2000-12-01
252,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,BOND_GLOB,Bond Fund - Global Bond Fund,債券基金 - 環球債券基金,World Bond Fund,國際債券基金,,2003-07-08
260,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_ASIA,Equity Fund - Asia Equity Fund,股票基金 - 亞洲股票基金,Asia Pacific Equity Fund,亞太股票基金,,2000-12-01
261,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Age 65 Plus Fund,65 歲後基金,,2009-10-08
262,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,MIX_61_80,Mixed Assets Fund - 61% to 80% Equity,混合資產基金 - 61% 至 80% 股票,Balanced Fund,均衡基金,,2000-12-01
263,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Core Accumulation Fund,核心累積基金,,2000-12-01
