scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fund_expense_ratio,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021,scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc,scheme_sc,constituent_fund_sc,mpf_trustee_sc,fund_type_sc,fund_code
BCOM Joyful Retirement MPF Scheme,BCOM Core Accumulation Fund,BCOM,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,2017-04-01,"1,044.87",4,0.80191,15.77,11.10,16.09,-16.58,10.02,交通銀行愉盈退休強積金計劃,交通銀行核心累積基金,交通,混合資產基金 - 預設投資策略-核心累積基金,交通银行愉盈退休强积金计划,"交通银行核心累积基金
",交通,混合资产基金 - 预设投资策略-核心累积基金,BCOM-JR-CRACFD
BCOM Joyful Retirement MPF Scheme,BCOM Dynamic Growth (CF) Fund,BCOM,Mixed Assets Fund - 81% to 100% Equity,2006-10-25,545.06,5,1.60214,25.45,10.67,5.23,-17.09,3.62,交通銀行愉盈退休強積金計劃,交通銀行動力增長成分基金,交通,混合資產基金 - 81% 至 100% 股票,交通银行愉盈退休强积金计划,"交通银行动力增长成分基金
",交通,混合资产基金 - 81% to 100% 股票,BCOM-JR-DYGWFD
BCOM Joyful Retirement MPF Scheme,BCOM Global Bond (CF) Fund,BCOM,Bond Fund - Global Bond Fund,2010-11-15,270.18,4,1.14956,6.07,-1.40,5.92,-12.98,-4.02,交通銀行愉盈退休強積金計劃,交通銀行環球債券成分基金,交通,債券基金 - 環球債券基金,交通银行愉盈退休强积金计划,"交通银行环球债券成分基金
",交通,债券基金 - 环球债券基金,BCOM-JR-GLBDFD
BCOM Joyful Retirement MPF Scheme,BCOM Greater China Equity (CF) Fund,BCOM,Equity Fund - Greater China Equity Fund,2010-11-15,685.58,6,1.54498,37.11,12.05,-7.43,-23.18,-10.88,交通銀行愉盈退休強積金計劃,交通銀行大中華股票成分基金,交通,股票基金 - 大中華股票基金,交通银行愉盈退休强积金计划,"交通银行大中华股票成分基金
",交通,股票基金 - 大中华股票基金,BCOM-JR-GCEFD
BCOM Joyful Retirement MPF Scheme,BCOM Guaranteed  (CF) Fund,BCOM,Guaranteed Fund,2000-12-01,896.91,3,1.72174,9.41,5.00,2.76,-5.25,-2.43,交通銀行愉盈退休強積金計劃,交通銀行保證回報成分基金,交通,保證基金,交通银行愉盈退休强积金计划,"交通银行保证回报成分基金
",交通,保证基金,BCOM-JR-GUFDDD
BCOM Joyful Retirement MPF Scheme,BCOM Hong Kong Dynamic Equity (CF) Fund,BCOM,Equity Fund - Hong Kong Equity Fund,2007-10-17,520.41,6,1.56437,34.67,14.90,-12.89,-21.26,-15.60,交通銀行愉盈退休強積金計劃,交通銀行香港動力股票成分基金,交通,股票基金 - 香港股票基金,交通银行愉盈退休强积金计划,"交通银行香港动力股票成分基金
",交通,股票基金 - 香港股票基金,BCOM-JR-HKDFD
BCOM Joyful Retirement MPF Scheme,BCOM HSI ESG Tracking (CF) Fund,BCOM,Equity Fund - Hong Kong Equity Fund (Index Tracking),2009-09-30,612.09,6,0.95698,32.30,10.48,-15.51,-13.46,-12.63,交通銀行愉盈退休強積金計劃,交通銀行恒指ESG成分基金,交通,股票基金 - 香港股票基金（追蹤指數）,交通银行愉盈退休强积金计划,"交通银行恒指ESG成分基金
",交通,股票基金 - 香港股票基金（追踪指数）,BCOM-JR-HETFD
BCOM Joyful Retirement MPF Scheme,BCOM MPF Conservative Fund,BCOM,Money Market Fund - MPF Conservative Fund,2000-12-01,"1,788.26",1,0.93116,2.01,3.31,3.24,0.43,0.00,交通銀行愉盈退休強積金計劃,交通銀行強積金保守基金,交通,貨幣市場基金 — 強積金保守基金,交通银行愉盈退休强积金计划,"交通银行强积金保守基金
",交通,货币市场基金 — 强积金保守基金,BCOM-JR-CVFDDD
BCOM Joyful Retirement MPF Scheme,BCOM North American Equity (CF) Fund,BCOM,Equity Fund - United States Equity Fund,2023-02-01,330.00,,1.06137,15.51,21.94,,,,交通銀行愉盈退休強積金計劃,交通銀行北美股票成分基金,交通,股票基金 - 美國股票基金,交通银行愉盈退休强积金计划,"交通银行北美股票成分基金
",交通,股票基金 - 美国股票基金,BCOM-JR-NAEFD
BCOM Joyful Retirement MPF Scheme,BCOM Stable Growth (CF) Fund,BCOM,Mixed Assets Fund - 41% to 60% Equity,2006-01-10,675.14,4,1.53999,14.88,2.66,3.97,-16.63,-1.63,交通銀行愉盈退休強積金計劃,交通銀行平穩增長成分基金,交通,混合資產基金 - 41% 至 60% 股票,交通银行愉盈退休强积金计划,"交通银行平稳增长成分基金
",交通,混合资产基金 - 41% to 60% 股票,BCOM-JR-STGWFD
