scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fer,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021
Principal MPF Scheme Series 800,Principal MPF Conservative Fund - Class N,PRIN,Money Market Fund - MPF Conservative Fund,01-12-2000,"5,629.20",1,0.98436,2.30,3.47,3.42,0.16,0.00
Principal MPF Scheme Series 800,Principal Stable Yield Fund - Class D,PRIN,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,107.54,4,1.31662,12.30,1.34,5.93,-15.96,-1.78
Principal MPF Scheme Series 800,Principal Stable Yield Fund - Class I,PRIN,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,"2,146.46",4,1.51665,12.16,1.14,5.71,-16.13,-1.97
Principal MPF Scheme Series 800,Principal US Equity Fund - Class D,PRIN,Equity Fund - United States Equity Fund,01-12-2000,313.82,5,1.28578,15.32,22.14,23.72,-19.20,26.96
Principal MPF Scheme Series 800,Principal US Equity Fund - Class I,PRIN,Equity Fund - United States Equity Fund,01-12-2000,"6,136.01",5,1.47591,15.19,21.91,23.48,-19.35,26.73
SHKP MPF Employer Sponsored Scheme,Allianz Choice Balanced Fund,SCT,Mixed Assets Fund - 61% to 80% Equity,19-03-2010,917.19,5,0.98849,21.09,8.26,5.39,-15.46,2.42
SHKP MPF Employer Sponsored Scheme,Allianz Choice Stable Growth Fund,SCT,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,493.57,4,0.99070,16.45,5.45,5.08,-15.20,0.56
SHKP MPF Employer Sponsored Scheme,Fidelity Balanced Fund,SCT,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"1,607.95",5,0.87924,17.55,7.84,4.65,-19.13,0.55
SHKP MPF Employer Sponsored Scheme,Fidelity Stable Growth Fund,SCT,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,785.41,4,0.88551,13.77,4.95,4.77,-18.60,-0.75
SHKP MPF Employer Sponsored Scheme,Invesco Global Stable Fund,SCT,Mixed Assets Fund - 21% to 40% Equity,04-03-2015,628.21,4,0.83055,12.49,1.98,6.16,-14.01,-2.04
SHKP MPF Employer Sponsored Scheme,Invesco MPF Conservative Fund,SCT,Money Market Fund - MPF Conservative Fund,01-12-2000,781.88,1,0.66355,2.36,3.66,3.63,0.47,0.01
SHKP MPF Employer Sponsored Scheme,Manulife Career Average Guaranteed Fund - SHKP,SCT,Guaranteed Fund,01-12-2000,567.40,4,2.26698,5.80,2.11,3.08,-11.35,-2.06
SHKP MPF Employer Sponsored Scheme,Schroder MPF Age 65 Plus Fund,SCT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,396.18,4,0.60948,5.80,3.55,7.11,-14.31,1.25
SHKP MPF Employer Sponsored Scheme,Schroder MPF Core Accumulation Fund,SCT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,979.14,4,0.58185,13.49,9.90,13.38,-14.71,9.93
SHKP MPF Employer Sponsored Scheme,SHKP MPF Fund,SCT,Mixed Assets Fund - 41% to 60% Equity,02-07-2002,"1,856.19",5,0.66262,18.18,18.93,13.29,-30.78,-2.57
Sun Life Rainbow MPF Scheme,Sun Life FTSE MPF Hong Kong Index Fund - Class A,Sun Life,Equity Fund - Hong Kong Equity Fund (Index Tracking),10-12-2013,486.33,6,0.92593,36.27,18.95,-12.61,-15.08,-16.53
Sun Life Rainbow MPF Scheme,Sun Life FTSE MPF Hong Kong Index Fund - Class B,Sun Life,Equity Fund - Hong Kong Equity Fund (Index Tracking),10-12-2013,"3,625.53",6,0.92600,36.27,18.95,-12.61,-15.08,-16.53
Sun Life Rainbow MPF Scheme,Sun Life MPF Age 65 Plus Fund,Sun Life,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,"3,947.07",4,0.76817,5.72,3.45,7.08,-14.50,1.10
Sun Life Rainbow MPF Scheme,Sun Life MPF Asian Equity Fund - Class A,Sun Life,Equity Fund - Asia Equity Fund,01-03-2008,903.15,5,2.05256,25.57,3.77,1.05,-22.05,-6.97
Sun Life Rainbow MPF Scheme,Sun Life MPF Asian Equity Fund - Class B,Sun Life,Equity Fund - Asia Equity Fund,01-03-2008,"6,351.06",5,1.85268,25.82,3.98,1.26,-21.90,-6.78
Sun Life Rainbow MPF Scheme,Sun Life MPF Balanced Fund - Class A,Sun Life,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,"1,120.64",4,1.82956,12.31,2.24,4.23,-18.69,0.40
Sun Life Rainbow MPF Scheme,Sun Life MPF Balanced Fund - Class B,Sun Life,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,"6,855.90",4,1.62953,12.54,2.44,4.44,-18.53,0.60
Sun Life Rainbow MPF Scheme,Sun Life MPF Conservative Fund - Class A,Sun Life,Money Market Fund - MPF Conservative Fund,01-12-2000,"2,472.47",1,0.89579,2.11,3.61,3.63,0.32,0.00
Sun Life Rainbow MPF Scheme,Sun Life MPF Conservative Fund - Class B,Sun Life,Money Market Fund - MPF Conservative Fund,01-12-2000,"22,470.05",1,0.89573,2.11,3.61,3.64,0.38,0.00
Sun Life Rainbow MPF Scheme,Sun Life MPF Core Accumulation Fund,Sun Life,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"17,896.86",4,0.77042,13.39,9.81,13.28,-14.87,9.72
Sun Life Rainbow MPF Scheme,Sun Life MPF European Equity Fund,Sun Life,Equity Fund - Europe Equity Fund,05-06-2023,"1,222.46",n.a.,1.27549,30.63,0.97,n.a.,n.a.,n.a.
Sun Life Rainbow MPF Scheme,Sun Life MPF Global Bond Fund - Class A,Sun Life,Bond Fund - Global Bond Fund,01-01-2010,349.45,4,1.78008,4.86,-3.33,4.83,-13.70,-3.65
Sun Life Rainbow MPF Scheme,Sun Life MPF Global Bond Fund - Class B,Sun Life,Bond Fund - Global Bond Fund,01-01-2010,"2,683.07",4,1.57969,5.07,-3.13,5.04,-13.53,-3.46
Sun Life Rainbow MPF Scheme,Sun Life MPF Global Low Carbon Index Fund,Sun Life,Equity Fund - Global Equity Fund,05-06-2023,"4,453.71",n.a.,1.19123,19.92,13.92,n.a.,n.a.,n.a.
Sun Life Rainbow MPF Scheme,Sun Life MPF Greater China Equity Fund - Class A,Sun Life,Equity Fund - Greater China Equity Fund,01-03-2008,"1,285.85",6,2.06982,29.34,12.23,-8.73,-27.83,-8.14
Sun Life Rainbow MPF Scheme,Sun Life MPF Greater China Equity Fund - Class B,Sun Life,Equity Fund - Greater China Equity Fund,01-03-2008,"7,827.48",6,1.86986,29.60,12.46,-8.55,-27.68,-7.96
Sun Life Rainbow MPF Scheme,Sun Life MPF Growth Fund - Class A,Sun Life,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"2,042.24",4,1.84965,16.25,4.40,3.97,-20.36,2.39
Sun Life Rainbow MPF Scheme,Sun Life MPF Growth Fund - Class B,Sun Life,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"12,581.27",4,1.64959,16.49,4.61,4.17,-20.20,2.59
Sun Life Rainbow MPF Scheme,Sun Life MPF Hong Kong Dollar Bond Fund - Class A,Sun Life,Bond Fund - Hong Kong Dollar Bond Fund,01-12-2000,778.42,3,1.69066,5.45,2.10,5.39,-9.54,-2.01
Sun Life Rainbow MPF Scheme,Sun Life MPF Hong Kong Dollar Bond Fund - Class B,Sun Life,Bond Fund - Hong Kong Dollar Bond Fund,01-12-2000,"4,759.78",3,1.56045,5.45,2.24,5.59,-9.36,-1.81
Sun Life Rainbow MPF Scheme,Sun Life MPF Hong Kong Equity Fund - Class A,Sun Life,Equity Fund - Hong Kong Equity Fund,01-12-2000,"5,060.47",6,1.79143,25.11,10.59,-16.73,-15.31,-10.09
Sun Life Rainbow MPF Scheme,Sun Life MPF Hong Kong Equity Fund - Class B,Sun Life,Equity Fund - Hong Kong Equity Fund,01-12-2000,"30,206.66",6,1.59132,25.36,10.82,-16.57,-15.14,-9.91
Sun Life Rainbow MPF Scheme,Sun Life MPF Income Fund,Sun Life,Mixed Assets Fund - Uncategorized Mixed Asset Fund,17-02-2025,391.62,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Sun Life Rainbow MPF Scheme,Sun Life MPF Multi-Sector Equity Fund - Class A,Sun Life,Equity Fund - Global Equity Fund,01-03-2008,"2,033.88",5,1.82226,17.93,11.51,18.86,-20.25,18.63
Sun Life Rainbow MPF Scheme,Sun Life MPF Multi-Sector Equity Fund - Class B,Sun Life,Equity Fund - Global Equity Fund,01-03-2008,"16,139.05",5,1.62238,18.17,11.73,19.10,-20.09,18.86
Sun Life Rainbow MPF Scheme,Sun Life MPF RMB and HKD Fund - Class A,Sun Life,Money Market Fund - Other than MPF Conservative Fund,30-06-2012,175.83,3,1.23653,4.54,-0.41,0.31,-3.94,2.23
Sun Life Rainbow MPF Scheme,Sun Life MPF RMB and HKD Fund - Class B,Sun Life,Money Market Fund - Other than MPF Conservative Fund,30-06-2012,"1,081.55",3,1.18641,4.59,-0.36,0.36,-3.90,2.29
Sun Life Rainbow MPF Scheme,Sun Life MPF Stable Fund - Class A,Sun Life,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,997.49,4,1.80800,8.71,-0.09,4.43,-17.12,-1.73
Sun Life Rainbow MPF Scheme,Sun Life MPF Stable Fund - Class B,Sun Life,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,"6,465.55",4,1.60806,8.92,0.11,4.64,-16.95,-1.54
Sun Life Rainbow MPF Scheme,Sun Life MPF US & Hong Kong Equity Fund,Sun Life,Equity Fund - Uncategorized Equity Fund,29-11-2023,"1,929.67",n.a.,1.11040,21.39,20.62,n.a.,n.a.,n.a.
Sun Life Rainbow MPF Scheme,Sun Life MPF US Equity Fund,Sun Life,Equity Fund - United States Equity Fund,05-06-2023,"10,210.82",n.a.,1.23697,12.88,20.97,n.a.,n.a.,n.a.
