scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fer,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021
BCT (MPF) Pro Choice,BCT (Pro) Age 65 Plus Fund,BCT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,"1,356.79",4,0.77716,7.10,3.85,8.44,-15.06,0.72
BCT (MPF) Pro Choice,BCT (Pro) Asian Equity Fund,BCT,Equity Fund - Asia Equity Fund,01-05-2004,"5,857.89",5,1.60674,26.71,9.23,1.09,-22.59,-1.99
BCT (MPF) Pro Choice,BCT (Pro) Asian Income Retirement Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,25-04-2022,545.88,3,1.56887,5.49,0.81,-1.79,n.a.,n.a.
BCT (MPF) Pro Choice,BCT (Pro) China and Hong Kong Equity Fund,BCT,Equity Fund - Hong Kong Equity Fund,01-01-2008,"9,231.18",6,1.48503,30.82,13.59,-16.04,-20.73,-16.21
BCT (MPF) Pro Choice,BCT (Pro) Core Accumulation Fund,BCT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"5,892.36",4,0.77864,15.75,11.06,16.08,-16.51,9.98
BCT (MPF) Pro Choice,BCT (Pro) E30 Mixed Asset Fund,BCT,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,"2,026.13",4,1.50039,10.80,1.50,5.36,-17.00,-3.35
BCT (MPF) Pro Choice,BCT (Pro) E50 Mixed Asset Fund,BCT,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,"2,812.94",4,1.50375,14.96,4.35,5.62,-17.66,-1.54
BCT (MPF) Pro Choice,BCT (Pro) E70 Mixed Asset Fund,BCT,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"5,369.57",4,1.50659,19.30,7.21,5.88,-18.43,0.30
BCT (MPF) Pro Choice,BCT (Pro) E90 Mixed Asset Fund,BCT,Mixed Assets Fund - 81% to 100% Equity,27-10-2008,"1,118.98",5,1.50875,23.58,9.98,6.18,-19.08,2.32
BCT (MPF) Pro Choice,BCT (Pro) European Equity Fund,BCT,Equity Fund - Europe Equity Fund,01-01-2008,"1,448.90",5,1.56831,24.47,-2.05,18.54,-14.01,15.22
BCT (MPF) Pro Choice,BCT (Pro) Flexi Mixed Asset Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,01-08-2005,"1,601.18",3,1.34922,8.53,3.07,3.52,-7.25,5.61
BCT (MPF) Pro Choice,BCT (Pro) Global Bond Fund,BCT,Bond Fund - Global Bond Fund,01-10-2002,"1,900.98",4,1.44457,5.36,-2.63,4.95,-15.97,-6.07
BCT (MPF) Pro Choice,BCT (Pro) Global Equity Fund,BCT,Equity Fund - Global Equity Fund,01-10-2002,"7,359.70",5,1.48709,19.15,15.21,19.00,-19.49,17.16
BCT (MPF) Pro Choice,BCT (Pro) Greater China Equity Fund,BCT,Equity Fund - Greater China Equity Fund,28-06-2012,"2,460.47",6,1.11247,24.14,15.87,-2.55,-21.49,-6.59
BCT (MPF) Pro Choice,BCT (Pro) Hang Seng Index Tracking Fund,BCT,Equity Fund - Hong Kong Equity Fund (Index Tracking),01-10-2009,"5,076.85",6,0.82718,30.20,21.83,-11.26,-13.27,-12.58
BCT (MPF) Pro Choice,BCT (Pro) Hong Kong Dollar Bond Fund,BCT,Bond Fund - Hong Kong Dollar Bond Fund,01-10-2009,"1,383.73",3,1.06685,5.48,3.02,5.96,-9.07,-1.37
BCT (MPF) Pro Choice,BCT (Pro) MPF Conservative Fund,BCT,Money Market Fund - MPF Conservative Fund,01-12-2000,"11,229.73",1,0.89678,2.11,3.40,3.18,0.32,0.00
BCT (MPF) Pro Choice,BCT (Pro) RMB Bond Fund,BCT,Bond Fund - RMB Bond Fund,04-03-2013,"1,001.26",3,1.22958,5.90,1.05,2.74,-5.48,2.20
BCT (MPF) Pro Choice,BCT (Pro) SaveEasy 2025 Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,27-10-2008,785.06,4,1.23829,9.85,4.37,4.33,-19.94,0.97
BCT (MPF) Pro Choice,BCT (Pro) SaveEasy 2030 Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,27-10-2008,845.99,5,1.48814,19.20,9.53,4.43,-20.55,1.11
BCT (MPF) Pro Choice,BCT (Pro) SaveEasy 2035 Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,27-10-2008,908.09,5,1.49038,20.60,10.53,4.32,-20.82,1.28
BCT (MPF) Pro Choice,BCT (Pro) SaveEasy 2040 Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,27-10-2008,"2,068.94",5,1.48462,21.81,10.97,4.37,-20.85,1.29
BCT (MPF) Pro Choice,BCT (Pro) SaveEasy 2045 Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,23-11-2021,151.08,5,1.54241,21.58,10.81,4.45,-19.86,n.a.
BCT (MPF) Pro Choice,BCT (Pro) SaveEasy 2050 Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,23-11-2021,267.92,5,1.50881,21.86,10.86,4.23,-19.73,n.a.
BCT (MPF) Pro Choice,BCT (Pro) U.S. Equity Fund,BCT,Equity Fund - United States Equity Fund,23-11-2021,"4,853.11",5,0.95380,16.17,21.76,25.10,-22.31,n.a.
BCT (MPF) Pro Choice,BCT (Pro) World Equity Fund,BCT,Equity Fund - Global Equity Fund,28-06-2012,"4,106.96",5,1.02840,19.82,14.76,18.26,-17.76,18.00
BCT Strategic MPF Scheme,Invesco Age 65 Plus Fund - Unit Class A,BCT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,792.84,4,0.80013,7.14,3.88,8.53,-15.18,0.69
BCT Strategic MPF Scheme,Invesco Age 65 Plus Fund - Unit Class H,BCT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,633.30,4,0.79930,7.14,3.88,8.53,-15.18,0.69
BCT Strategic MPF Scheme,Invesco Asian Equity Fund - Unit Class A,BCT,Equity Fund - Asia Equity Fund,28-09-2007,727.27,6,1.31055,25.39,6.30,1.68,-22.78,-8.05
BCT Strategic MPF Scheme,Invesco Asian Equity Fund - Unit Class H,BCT,Equity Fund - Asia Equity Fund,03-10-2007,953.46,6,1.18727,25.53,6.42,1.80,-22.69,-7.94
