計劃,成分基金,受託人,基金類別,推出日期,基金規模百萬港元,風險級別,最近期基金開支比率,曆年回報_2025,曆年回報_2024,曆年回報_2023,曆年回報_2022,曆年回報_2021
BCT強積金策略計劃,景順環球追蹤指數基金 - 單位類別A,銀聯信託,股票基金 - 環球股票基金,09-06-2023,98.76,n.a.,1.15221,18.67,15.89,n.a.,n.a.,n.a.
BCT強積金策略計劃,景順環球追蹤指數基金 - 單位類別H,銀聯信託,股票基金 - 環球股票基金,09-06-2023,159.49,n.a.,1.14993,18.67,15.89,n.a.,n.a.,n.a.
BCT強積金策略計劃,景順增長基金 - 單位類別A,銀聯信託,股票基金 - 環球股票基金,28-12-2000,"2,956.26",5,1.29723,24.91,7.94,5.63,-17.78,0.94
BCT強積金策略計劃,景順增長基金 - 單位類別H,銀聯信託,股票基金 - 環球股票基金,12-02-2001,"2,899.96",5,1.17397,25.05,8.06,5.75,-17.68,1.06
BCT強積金策略計劃,景順恒指基金 - 單位類別A,銀聯信託,股票基金 - 香港股票基金（追蹤指數）,31-07-2014,427.69,7,0.79266,30.34,21.79,-11.14,-13.17,-12.84
BCT強積金策略計劃,景順恒指基金 - 單位類別H,銀聯信託,股票基金 - 香港股票基金（追蹤指數）,31-07-2014,491.96,7,0.75084,30.40,21.84,-11.10,-13.14,-12.81
BCT強積金策略計劃,景順中港股票基金 - 單位類別A,銀聯信託,股票基金 - 香港股票基金,05-03-2003,"1,635.99",7,1.24992,30.82,12.50,-19.97,-19.68,-18.64
BCT強積金策略計劃,景順中港股票基金 - 單位類別H,銀聯信託,股票基金 - 香港股票基金,03-03-2003,"2,063.31",7,1.12778,30.98,12.64,-19.88,-19.58,-18.54
BCT強積金策略計劃,景順強積金保守基金 - 單位類別A,銀聯信託,貨幣市場基金 — 強積金保守基金,29-01-2001,"1,438.19",1,0.68966,2.30,3.61,3.57,0.42,0.00
BCT強積金策略計劃,景順強積金保守基金 - 單位類別H,銀聯信託,貨幣市場基金 — 強積金保守基金,12-02-2001,"1,502.16",1,0.68831,2.30,3.61,3.57,0.42,0.00
BCT強積金策略計劃,景順人民幣債券基金 - 單位類別A,銀聯信託,債券基金 - 人民幣債券基金,05-03-2013,171.43,3,1.24665,5.94,1.00,2.55,-5.45,2.21
BCT強積金策略計劃,景順人民幣債券基金 - 單位類別H,銀聯信託,債券基金 - 人民幣債券基金,06-03-2013,248.62,3,1.12379,6.06,1.13,2.67,-5.33,2.34
BCT強積金策略計劃,景順美國追蹤指數基金 - 單位類別A,銀聯信託,股票基金 - 美國股票基金,09-06-2023,297.21,n.a.,1.04145,13.60,21.69,n.a.,n.a.,n.a.
BCT強積金策略計劃,景順美國追蹤指數基金 - 單位類別H,銀聯信託,股票基金 - 美國股票基金,09-06-2023,437.54,n.a.,1.03905,13.60,21.69,n.a.,n.a.,n.a.
東亞（強積金）行業計劃,東亞 (行業計劃) 65歲後基金,東亞,混合資產基金 - 預設投資策略-65歲後基金,01-04-2017,"1,147.59",4,0.77571,5.95,3.42,7.57,-14.35,0.97
東亞（強積金）行業計劃,東亞 (行業計劃) 亞洲股票基金,東亞,股票基金 - 亞洲股票基金,31-01-2012,671.28,5,1.29050,33.14,14.05,4.75,-24.41,0.03
東亞（強積金）行業計劃,東亞 (行業計劃) 均衡基金,東亞,混合資產基金 - 41% 至 60% 股票,01-12-2000,"1,948.03",4,1.34068,14.64,5.24,5.16,-17.27,-0.67
東亞（強積金）行業計劃,東亞 (行業計劃) 核心累積基金,東亞,混合資產基金 - 預設投資策略-核心累積基金,01-04-2017,"3,670.22",4,0.77687,12.45,11.36,14.63,-15.96,9.54
東亞（強積金）行業計劃,東亞 (行業計劃) 大中華股票基金,東亞,股票基金 - 大中華股票基金,04-01-2010,980.22,6,1.29682,35.56,15.67,-6.94,-26.93,-4.43
東亞（強積金）行業計劃,東亞 (行業計劃) 增長基金,東亞,混合資產基金 - 61% 至 80% 股票,01-12-2000,"3,888.95",5,1.37183,19.60,8.48,5.62,-18.05,1.12
東亞（強積金）行業計劃,東亞 (行業計劃) 香港股票基金,東亞,股票基金 - 香港股票基金,04-01-2010,765.37,7,1.27899,34.21,16.63,-15.36,-24.51,-15.66
東亞（強積金）行業計劃,東亞 (行業計劃) 強積金保守基金,東亞,貨幣市場基金 — 強積金保守基金,01-12-2000,"3,986.72",1,0.80767,1.92,3.41,3.42,0.35,0.01
東亞（強積金）行業計劃,東亞 (行業計劃) 人民幣及港幣貨幣市場基金,東亞,貨幣市場基金 — 不包括強積金保守基金,03-07-2012,256.40,3,0.79088,4.30,0.14,1.10,-4.05,2.56
東亞（強積金）行業計劃,東亞 (行業計劃) 平穩基金,東亞,混合資產基金 - 21% 至 40% 股票,01-12-2000,"3,023.39",4,1.31067,10.11,2.09,4.49,-15.95,-2.33
東亞（強積金）行業計劃,東亞中國追蹤指數基金,東亞,股票基金 - 中國股票基金,31-01-2012,175.47,7,1.17257,24.59,29.45,-12.35,-16.54,-22.11
東亞（強積金）行業計劃,東亞香港追蹤指數基金,東亞,股票基金 - 香港股票基金（追蹤指數）,31-01-2012,205.52,7,0.58317,30.51,21.97,-10.92,-12.99,-12.36
東亞（強積金）集成信託計劃,東亞 (強積金) 65歲後基金,東亞,混合資產基金 - 預設投資策略-65歲後基金,01-04-2017,"1,039.25",4,0.78021,5.95,3.42,7.59,-14.35,0.96
東亞（強積金）集成信託計劃,東亞(強積金)亞洲股票基金,東亞,股票基金 - 亞洲股票基金,01-09-2005,"1,524.02",5,1.31850,33.60,14.26,4.82,-24.86,-0.17
東亞（強積金）集成信託計劃,東亞 (強積金) 均衡基金,東亞,混合資產基金 - 41% 至 60% 股票,01-12-2000,"1,840.89",4,1.34166,14.72,5.31,5.18,-17.30,-0.66
東亞（強積金）集成信託計劃,東亞 (強積金) 保守基金,東亞,貨幣市場基金 — 強積金保守基金,01-12-2000,"1,833.31",1,0.80857,1.94,3.38,3.40,0.35,-0.01
東亞（強積金）集成信託計劃,東亞 (強積金) 核心累積基金,東亞,混合資產基金 - 預設投資策略-核心累積基金,01-04-2017,"1,207.65",4,0.77948,12.45,11.35,14.64,-15.96,9.54
東亞（強積金）集成信託計劃,東亞 (強積金) 歐洲股票基金,東亞,股票基金 - 歐洲股票基金,04-01-2010,206.11,5,1.39690,28.40,1.61,15.56,-13.75,14.37
東亞（強積金）集成信託計劃,東亞(強積金)環球債券基金,東亞,債券基金 - 環球債券基金,01-09-2005,356.18,4,1.05130,4.67,-2.70,3.85,-15.72,-5.43
東亞（強積金）集成信託計劃,東亞 (強積金) 環球股票基金,東亞,股票基金 - 環球股票基金,04-01-2010,732.81,5,1.25072,18.21,18.07,20.67,-17.95,17.68
東亞（強積金）集成信託計劃,東亞 (強積金) 大中華股票基金,東亞,股票基金 - 大中華股票基金,01-12-2006,"1,838.34",6,1.28586,35.62,16.30,-7.27,-26.84,-5.63
東亞（強積金）集成信託計劃,東亞 (強積金) 增長基金,東亞,混合資產基金 - 61% 至 80% 股票,01-12-2000,"3,910.12",5,1.37488,19.65,8.53,5.64,-18.12,1.10
東亞（強積金）集成信託計劃,東亞(強積金)香港股票基金,東亞,股票基金 - 香港股票基金,01-09-2005,"1,032.81",7,1.28325,34.19,16.65,-15.53,-24.51,-15.76
東亞（強積金）集成信託計劃,東亞(強積金)日本股票基金,東亞,股票基金 - 日本股票基金,01-12-2006,224.40,5,1.35966,23.71,13.77,21.72,-14.10,3.89
東亞（強積金）集成信託計劃,東亞 (強積金) 北美股票基金,東亞,股票基金 - 美國股票基金,31-01-2012,"1,143.21",5,1.24901,16.82,20.50,23.07,-19.33,26.17
東亞（強積金）集成信託計劃,東亞 (強積金) 人民幣及港幣貨幣市場基金,東亞,貨幣市場基金 — 不包括強積金保守基金,03-07-2012,184.56,3,0.79543,4.19,0.43,1.17,-4.15,2.66
東亞（強積金）集成信託計劃,東亞 (強積金) 平穩基金,東亞,混合資產基金 - 21% 至 40% 股票,01-12-2000,"1,866.20",4,1.31468,10.11,2.08,4.49,-16.00,-2.33
東亞（強積金）集成信託計劃,東亞中國追蹤指數基金,東亞,股票基金 - 中國股票基金,31-01-2012,170.41,7,1.19223,24.49,29.29,-12.44,-16.58,-22.21
東亞（強積金）集成信託計劃,東亞香港追蹤指數基金,東亞,股票基金 - 香港股票基金（追蹤指數）,31-01-2012,340.93,7,0.59660,30.54,21.80,-10.97,-13.11,-12.43
東亞（強積金）享惠計劃,東亞65歲後基金,東亞,混合資產基金 - 預設投資策略-65歲後基金,01-04-2017,12.76,4,0.84302,5.92,3.31,7.51,-14.39,0.82
東亞（強積金）享惠計劃,東亞亞洲股票基金,東亞,股票基金 - 亞洲股票基金,25-10-2012,17.09,5,0.97668,34.32,13.23,4.82,-24.21,-4.33
東亞（強積金）享惠計劃,東亞均衡基金,東亞,混合資產基金 - 41% 至 60% 股票,25-10-2012,20.24,4,0.96420,16.92,6.39,6.45,-17.54,0.76
東亞（強積金）享惠計劃,東亞核心累積基金,東亞,混合資產基金 - 預設投資策略-核心累積基金,01-04-2017,33.53,4,0.82147,12.38,11.31,14.58,-16.00,9.45
東亞（強積金）享惠計劃,東亞環球債券基金,東亞,債券基金 - 環球債券基金,25-10-2012,8.90,4,0.92715,4.56,-3.39,3.72,-16.28,-5.92
