scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc
東亞（強積金）享惠計劃,東亞環球債券基金,東亞,債券基金 - 環球債券基金
東亞（強積金）享惠計劃,東亞環球股票基金,東亞,股票基金 - 環球股票基金
東亞（強積金）享惠計劃,東亞大中華股票基金,東亞,股票基金 - 大中華股票基金
東亞（強積金）享惠計劃,東亞增長基金,東亞,混合資產基金 - 61% 至 80% 股票
東亞（強積金）享惠計劃,東亞香港追蹤指數基金,東亞,股票基金 - 香港股票基金（追蹤指數）
東亞（強積金）享惠計劃,東亞強積金保守基金,東亞,貨幣市場基金 — 強積金保守基金
東亞（強積金）享惠計劃,東亞平穩基金,東亞,混合資產基金 - 21% 至 40% 股票
中銀保誠簡易強積金計劃,中銀保誠65歲後基金,中銀保誠,混合資產基金 - 預設投資策略-65歲後基金
中銀保誠簡易強積金計劃,中銀保誠亞洲股票基金,中銀保誠,股票基金 - 亞洲股票基金
中銀保誠簡易強積金計劃,中銀保誠均衡基金,中銀保誠,混合資產基金 - 41% 至 60% 股票
中銀保誠簡易強積金計劃,中銀保誠債券基金,中銀保誠,債券基金 - 環球債券基金
中銀保誠簡易強積金計劃,中銀保誠中國股票基金,中銀保誠,股票基金 - 中國股票基金
中銀保誠簡易強積金計劃,中銀保誠核心累積基金,中銀保誠,混合資產基金 - 預設投資策略-核心累積基金
中銀保誠簡易強積金計劃,中銀保誠中證香港100指數基金,中銀保誠,股票基金 - 香港股票基金（追蹤指數）
中銀保誠簡易強積金計劃,中銀保誠歐洲指數追蹤基金,中銀保誠,股票基金 - 歐洲股票基金
中銀保誠簡易強積金計劃,中銀保誠環球股票基金,中銀保誠,股票基金 - 環球股票基金
中銀保誠簡易強積金計劃,中銀保誠增長基金,中銀保誠,混合資產基金 - 81% 至 100% 股票
中銀保誠簡易強積金計劃,中銀保誠香港股票基金,中銀保誠,股票基金 - 香港股票基金
中銀保誠簡易強積金計劃,中銀保誠香港平穩退休基金,中銀保誠,混合資產基金 - 未分類混合資產基金
中銀保誠簡易強積金計劃,中銀保誠日本股票基金,中銀保誠,股票基金 - 日本股票基金
中銀保誠簡易強積金計劃,中銀保誠強積金保守基金,中銀保誠,貨幣市場基金 — 強積金保守基金
中銀保誠簡易強積金計劃,中銀保誠強積金人民幣及港元貨幣市場基金,中銀保誠,貨幣市場基金 — 不包括強積金保守基金
中銀保誠簡易強積金計劃,中銀保誠北美指數追蹤基金,中銀保誠,股票基金 - 美國股票基金
中銀保誠簡易強積金計劃,中銀保誠平穩基金,中銀保誠,混合資產基金 - 21% 至 40% 股票
中國人壽強積金集成信託計劃,中國人壽65歲後基金,中國人壽,混合資產基金 - 預設投資策略-65歲後基金
中國人壽強積金集成信託計劃,中國人壽平衡基金,中國人壽,混合資產基金 - 61% 至 80% 股票
中國人壽強積金集成信託計劃,中國人壽核心累積基金,中國人壽,混合資產基金 - 預設投資策略-核心累積基金
中國人壽強積金集成信託計劃,中國人壽大中華股票基金,中國人壽,股票基金 - 大中華股票基金
中國人壽強積金集成信託計劃,中國人壽增長基金,中國人壽,混合資產基金 - 81% 至 100% 股票
中國人壽強積金集成信託計劃,中國人壽香港股票基金,中國人壽,股票基金 - 香港股票基金
中國人壽強積金集成信託計劃,中國人壽樂安心保證基金,中國人壽,保證基金
中國人壽強積金集成信託計劃,中國人壽強積金保守基金,中國人壽,貨幣市場基金 — 強積金保守基金
中國人壽強積金集成信託計劃,中國人壽樂休閒環球股票基金,中國人壽,股票基金 - 環球股票基金
中國人壽強積金集成信託計劃,中國人壽美國股票基金,中國人壽,股票基金 - 美國股票基金
富達退休集成信託,65歲後基金,HSBC,混合資產基金 - 預設投資策略-65歲後基金
富達退休集成信託,美洲股票基金,HSBC,股票基金 - 美國股票基金
富達退休集成信託,亞太股票基金,HSBC,股票基金 - 亞洲股票基金
富達退休集成信託,均衡基金,HSBC,混合資產基金 - 61% 至 80% 股票
富達退休集成信託,資本穩定基金,HSBC,混合資產基金 - 21% 至 40% 股票
富達退休集成信託,核心累積基金,HSBC,混合資產基金 - 預設投資策略-核心累積基金
富達退休集成信託,歐洲股票基金,HSBC,股票基金 - 歐洲股票基金
